Title	Pseudo-title	Sub-title	Identifier	Date	Flight Line	Photo #	Scale	Latitude	Longitude	Thumbnail Link	Archive Link	Location in Drive	Corporate Name/Author	Personal Name/Author	Publisher	Publication Location	Set Date	Physical Description	General Note	Subject (Geographic)	Subject (Geographic)	Subject (Geographic)	Continent	Country	Province/State	Region	County	City	City Section	Area	Index	Condition Notes	Flightline String	Digital Archive Identifier	Digital Archive URL (new)
	City of Hamilton		Hamilton	[1919]		S5836	[Oblique]	43.268894	-79.834599	http://library.mcmaster.ca/maps/airphotos/thumbnails/AirPhotos_Hamilton_1919_S5836.jpg	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71644	H:\Digitization_Projects\Air_Photos\AirPhotos_1919_Hamilton			[Publisher unknown]	[Place of publication unknown]	1919	1 remote-sensing image ; 21 x 26 cm.	Shows Hamilton industrial area, west of Ottawa Street and south of Burlington Street, including Oliver Plow Works and Hamilton Steel Co. Source: Archives of Ontario, McCarthey Air Photos Collection, Accession No. ACC 2455 C 285-1-0-4.70, probably 1919.	Hamilton (Ont.)			North America	Canada	Ontario			Hamilton			photocopied city map indicates direction of view			AirPhotos_Hamilton_1919_S5836	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71644
City of Hamilton, 1927		aerial mosaic map from rectified aerial photographs	Hamilton	1927			[1:9,000 approximately]	43.25	-79.85	http://library.mcmaster.ca/maps/airphotos/thumbnails/AirPhotos_Hamilton_1927.jpg	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71375	H:\Digitization_Projects\Air_Photos\AirPhotos_1927_Hamilton	Hamilton (Ont.)	McFaul, W. L.	Jack V. Elliot Air Service Limited	Hamilton, Ont.	1927	1 remote-sensing image ; 58 x 128 cm. Mosaic photograph. Some minor surface damage and missing information, mostly around edges.	In upper left corner: W.L. McFaul B.A. Sc., City Engineer. Reference numbers appear along the top and bottom edge; reference letters appear along both sides. Accession number on verso: 107466.	Hamilton (Ont.)			North America	Canada	Ontario			Hamilton						AirPhotos_Hamilton_1927	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71375
	Greater Hamilton Area, from Caledonia to Vineland		Hamilton	1934-06-30	A4700	80	[1:20,000]	43.184714	-79.480247	http://library.mcmaster.ca/maps/airphotos/thumbnails/AirPhotos_Hamilton_1934_A4700-80.jpg	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A72553	H:\Digitization_Projects\Air_Photos\AirPhotos_1934_Hamilton	National Air Photo Library (Canada)		[Publisher unknown]	[Place of publication unknown]	1934	1 remote-sensing image ; 18 x 24 cm. Some surface damage (pencil markings).	Shows parts of Lincoln Township, Binbrook Township, Seneca Township, Hamilton, and Burlington. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library [Parts of Lincoln Township, Binbrook Township, Seneca Township and Burlington] June-November, 1934.	Hamilton Region (Ont.)			North America	Canada	Ontario	Niagara				Lincoln	On photocopied 1:50 000 NTS maps [30 M/3, 30 M/4, 30 M/5]		_A4700	AirPhotos_Hamilton_1934_A4700-80	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A72553
	Greater Hamilton Area, from Caledonia to Vineland		Hamilton	1934-07-01	A4703	17	[1:20,000]	43.129358	-79.570938	http://library.mcmaster.ca/maps/airphotos/thumbnails/AirPhotos_Hamilton_1934_A4703-17.jpg	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A72015	H:\Digitization_Projects\Air_Photos\AirPhotos_1934_Hamilton	National Air Photo Library (Canada)		[Publisher unknown]	[Place of publication unknown]	1934	1 remote-sensing image ; 18 x 24 cm. Some surface damage (pencil markings).	Shows parts of Lincoln Township, Binbrook Township, Seneca Township, Hamilton, and Burlington. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library [Parts of Lincoln Township, Binbrook Township, Seneca Township and Burlington] June-November, 1934.	Hamilton Region (Ont.)			North America	Canada	Ontario			Hamilton			On photocopied 1:50 000 NTS maps [30 M/3, 30 M/4, 30 M/5]		_A4703	AirPhotos_Hamilton_1934_A4703-17	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A72015
	Greater Hamilton Area, from Caledonia to Vineland		Hamilton	1934-07-01	A4703	18	[1:20,000]	43.132858	-79.585047	http://library.mcmaster.ca/maps/airphotos/thumbnails/AirPhotos_Hamilton_1934_A4703-18.jpg	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A72052	H:\Digitization_Projects\Air_Photos\AirPhotos_1934_Hamilton	National Air Photo Library (Canada)		[Publisher unknown]	[Place of publication unknown]	1934	1 remote-sensing image ; 18 x 24 cm. Some surface damage (pencil markings).	Shows parts of Lincoln Township, Binbrook Township, Seneca Township, Hamilton, and Burlington. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library [Parts of Lincoln Township, Binbrook Township, Seneca Township and Burlington] June-November, 1934.	Hamilton Region (Ont.)			North America	Canada	Ontario			Hamilton			On photocopied 1:50 000 NTS maps [30 M/3, 30 M/4, 30 M/5]		_A4703	AirPhotos_Hamilton_1934_A4703-18	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A72052
	Greater Hamilton Area, from Caledonia to Vineland		Hamilton	1934-07-01	A4703	19	[1:20,000]	43.134016	-79.599059	http://library.mcmaster.ca/maps/airphotos/thumbnails/AirPhotos_Hamilton_1934_A4703-19.jpg	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71862	H:\Digitization_Projects\Air_Photos\AirPhotos_1934_Hamilton	National Air Photo Library (Canada)		[Publisher unknown]	[Place of publication unknown]	1934	1 remote-sensing image ; 18 x 24 cm. Some surface damage (pencil markings).	Shows parts of Lincoln Township, Binbrook Township, Seneca Township, Hamilton, and Burlington. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library [Parts of Lincoln Township, Binbrook Township, Seneca Township and Burlington] June-November, 1934.	Hamilton Region (Ont.)			North America	Canada	Ontario			Hamilton			On photocopied 1:50 000 NTS maps [30 M/3, 30 M/4, 30 M/5]		_A4703	AirPhotos_Hamilton_1934_A4703-19	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71862
	Greater Hamilton Area, from Caledonia to Vineland		Hamilton	1934-07-01	A4703	20	[1:20,000]	43.13375	-79.615602	http://library.mcmaster.ca/maps/airphotos/thumbnails/AirPhotos_Hamilton_1934_A4703-20.jpg	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71911	H:\Digitization_Projects\Air_Photos\AirPhotos_1934_Hamilton	National Air Photo Library (Canada)		[Publisher unknown]	[Place of publication unknown]	1934	1 remote-sensing image ; 18 x 24 cm. Some surface damage (pencil markings).	Shows parts of Lincoln Township, Binbrook Township, Seneca Township, Hamilton, and Burlington. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library [Parts of Lincoln Township, Binbrook Township, Seneca Township and Burlington] June-November, 1934.	Hamilton Region (Ont.)			North America	Canada	Ontario			Hamilton			On photocopied 1:50 000 NTS maps [30 M/3, 30 M/4, 30 M/5]		_A4703	AirPhotos_Hamilton_1934_A4703-20	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71911
	Greater Hamilton Area, from Caledonia to Vineland		Hamilton	1934-07-01	A4703	21	[1:20,000]	43.132028	-79.63043	http://library.mcmaster.ca/maps/airphotos/thumbnails/AirPhotos_Hamilton_1934_A4703-21.jpg	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A72049	H:\Digitization_Projects\Air_Photos\AirPhotos_1934_Hamilton	National Air Photo Library (Canada)		[Publisher unknown]	[Place of publication unknown]	1934	1 remote-sensing image ; 18 x 24 cm. Some surface damage (pencil markings).	Shows parts of Lincoln Township, Binbrook Township, Seneca Township, Hamilton, and Burlington. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library [Parts of Lincoln Township, Binbrook Township, Seneca Township and Burlington] June-November, 1934.	Hamilton Region (Ont.)			North America	Canada	Ontario			Hamilton			On photocopied 1:50 000 NTS maps [30 M/3, 30 M/4, 30 M/5]		_A4703	AirPhotos_Hamilton_1934_A4703-21	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A72049
	Greater Hamilton Area, from Caledonia to Vineland		Hamilton	1934-07-01	A4703	22	[1:20,000]	43.133938	-79.643626	http://library.mcmaster.ca/maps/airphotos/thumbnails/AirPhotos_Hamilton_1934_A4703-22.jpg	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71873	H:\Digitization_Projects\Air_Photos\AirPhotos_1934_Hamilton	National Air Photo Library (Canada)		[Publisher unknown]	[Place of publication unknown]	1934	1 remote-sensing image ; 18 x 24 cm. Some surface damage (pencil markings).	Shows parts of Lincoln Township, Binbrook Township, Seneca Township, Hamilton, and Burlington. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library [Parts of Lincoln Township, Binbrook Township, Seneca Township and Burlington] June-November, 1934.	Hamilton Region (Ont.)			North America	Canada	Ontario			Hamilton			On photocopied 1:50 000 NTS maps [30 M/3, 30 M/4, 30 M/5]		_A4703	AirPhotos_Hamilton_1934_A4703-22	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71873
	Greater Hamilton Area, from Caledonia to Vineland		Hamilton	1934-07-01	A4703	24	[1:20,000]	43.130931	-79.674268	http://library.mcmaster.ca/maps/airphotos/thumbnails/AirPhotos_Hamilton_1934_A4703-24.jpg	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71907	H:\Digitization_Projects\Air_Photos\AirPhotos_1934_Hamilton	National Air Photo Library (Canada)		[Publisher unknown]	[Place of publication unknown]	1934	1 remote-sensing image ; 18 x 24 cm. Some surface damage (pencil markings).	Shows parts of Lincoln Township, Binbrook Township, Seneca Township, Hamilton, and Burlington. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library [Parts of Lincoln Township, Binbrook Township, Seneca Township and Burlington] June-November, 1934.	Hamilton Region (Ont.)			North America	Canada	Ontario			Hamilton			On photocopied 1:50 000 NTS maps [30 M/3, 30 M/4, 30 M/5]		_A4703	AirPhotos_Hamilton_1934_A4703-24	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71907
	Greater Hamilton Area, from Caledonia to Vineland		Hamilton	1934-07-01	A4703	25	[1:20,000]	43.132623	-79.688473	http://library.mcmaster.ca/maps/airphotos/thumbnails/AirPhotos_Hamilton_1934_A4703-25.jpg	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A72040	H:\Digitization_Projects\Air_Photos\AirPhotos_1934_Hamilton	National Air Photo Library (Canada)		[Publisher unknown]	[Place of publication unknown]	1934	1 remote-sensing image ; 18 x 24 cm. Some surface damage (pencil markings).	Shows parts of Lincoln Township, Binbrook Township, Seneca Township, Hamilton, and Burlington. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library [Parts of Lincoln Township, Binbrook Township, Seneca Township and Burlington] June-November, 1934.	Hamilton Region (Ont.)			North America	Canada	Ontario			Hamilton			On photocopied 1:50 000 NTS maps [30 M/3, 30 M/4, 30 M/5]		_A4703	AirPhotos_Hamilton_1934_A4703-25	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A72040
	Greater Hamilton Area, from Caledonia to Vineland		Hamilton	1934-07-01	A4703	26	[1:20,000]	43.132278	-79.701412	http://library.mcmaster.ca/maps/airphotos/thumbnails/AirPhotos_Hamilton_1934_A4703-26.jpg	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A72053	H:\Digitization_Projects\Air_Photos\AirPhotos_1934_Hamilton	National Air Photo Library (Canada)		[Publisher unknown]	[Place of publication unknown]	1934	1 remote-sensing image ; 18 x 24 cm. Some surface damage (pencil markings).	Shows parts of Lincoln Township, Binbrook Township, Seneca Township, Hamilton, and Burlington. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library [Parts of Lincoln Township, Binbrook Township, Seneca Township and Burlington] June-November, 1934.	Hamilton Region (Ont.)			North America	Canada	Ontario			Hamilton			On photocopied 1:50 000 NTS maps [30 M/3, 30 M/4, 30 M/5]		_A4703	AirPhotos_Hamilton_1934_A4703-26	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A72053
	Greater Hamilton Area, from Caledonia to Vineland		Hamilton	1934-07-01	A4703	28	[1:20,000]	43.133594	-79.731131	http://library.mcmaster.ca/maps/airphotos/thumbnails/AirPhotos_Hamilton_1934_A4703-28.jpg	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A72041	H:\Digitization_Projects\Air_Photos\AirPhotos_1934_Hamilton	National Air Photo Library (Canada)		[Publisher unknown]	[Place of publication unknown]	1934	1 remote-sensing image ; 18 x 24 cm. Some surface damage (pencil markings).	Shows parts of Lincoln Township, Binbrook Township, Seneca Township, Hamilton, and Burlington. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library [Parts of Lincoln Township, Binbrook Township, Seneca Township and Burlington] June-November, 1934.	Hamilton Region (Ont.)			North America	Canada	Ontario			Hamilton			On photocopied 1:50 000 NTS maps [30 M/3, 30 M/4, 30 M/5]		_A4703	AirPhotos_Hamilton_1934_A4703-28	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A72041
	Greater Hamilton Area, from Caledonia to Vineland		Hamilton	1934-07-01	A4703	29	[1:20,000]	43.134079	-79.743812	http://library.mcmaster.ca/maps/airphotos/thumbnails/AirPhotos_Hamilton_1934_A4703-29.jpg	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71794	H:\Digitization_Projects\Air_Photos\AirPhotos_1934_Hamilton	National Air Photo Library (Canada)		[Publisher unknown]	[Place of publication unknown]	1934	1 remote-sensing image ; 18 x 24 cm. Some surface damage (pencil markings).	Shows parts of Lincoln Township, Binbrook Township, Seneca Township, Hamilton, and Burlington. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library [Parts of Lincoln Township, Binbrook Township, Seneca Township and Burlington] June-November, 1934.	Hamilton Region (Ont.)			North America	Canada	Ontario			Hamilton			On photocopied 1:50 000 NTS maps [30 M/3, 30 M/4, 30 M/5]		_A4703	AirPhotos_Hamilton_1934_A4703-29	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71794
	Greater Hamilton Area, from Caledonia to Vineland		Hamilton	1934-07-01	A4703	30	[1:20,000]	43.135786	-79.758382	http://library.mcmaster.ca/maps/airphotos/thumbnails/AirPhotos_Hamilton_1934_A4703-30.jpg	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71868	H:\Digitization_Projects\Air_Photos\AirPhotos_1934_Hamilton	National Air Photo Library (Canada)		[Publisher unknown]	[Place of publication unknown]	1934	1 remote-sensing image ; 18 x 24 cm. Some surface damage (pencil markings).	Shows parts of Lincoln Township, Binbrook Township, Seneca Township, Hamilton, and Burlington. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library [Parts of Lincoln Township, Binbrook Township, Seneca Township and Burlington] June-November, 1934.	Hamilton Region (Ont.)			North America	Canada	Ontario			Hamilton			On photocopied 1:50 000 NTS maps [30 M/3, 30 M/4, 30 M/5]		_A4703	AirPhotos_Hamilton_1934_A4703-30	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71868
	Greater Hamilton Area, from Caledonia to Vineland		Hamilton	1934-07-01	A4703	31	[1:20,000]	43.135974	-79.77381	http://library.mcmaster.ca/maps/airphotos/thumbnails/AirPhotos_Hamilton_1934_A4703-31.jpg	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A72555	H:\Digitization_Projects\Air_Photos\AirPhotos_1934_Hamilton	National Air Photo Library (Canada)		[Publisher unknown]	[Place of publication unknown]	1934	1 remote-sensing image ; 18 x 24 cm. Some surface damage (pencil markings).	Shows parts of Lincoln Township, Binbrook Township, Seneca Township, Hamilton, and Burlington. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library [Parts of Lincoln Township, Binbrook Township, Seneca Township and Burlington] June-November, 1934.	Hamilton Region (Ont.)			North America	Canada	Ontario			Hamilton			On photocopied 1:50 000 NTS maps [30 M/3, 30 M/4, 30 M/5]		_A4703	AirPhotos_Hamilton_1934_A4703-31	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A72555
	Greater Hamilton Area, from Caledonia to Vineland		Hamilton	1934-07-01	A4703	32	[1:20,000]	43.137038	-79.783659	http://library.mcmaster.ca/maps/airphotos/thumbnails/AirPhotos_Hamilton_1934_A4703-32.jpg	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71985	H:\Digitization_Projects\Air_Photos\AirPhotos_1934_Hamilton	National Air Photo Library (Canada)		[Publisher unknown]	[Place of publication unknown]	1934	1 remote-sensing image ; 18 x 24 cm. Some surface damage (pencil markings).	Shows parts of Lincoln Township, Binbrook Township, Seneca Township, Hamilton, and Burlington. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library [Parts of Lincoln Township, Binbrook Township, Seneca Township and Burlington] June-November, 1934.	Hamilton Region (Ont.)			North America	Canada	Ontario			Hamilton			On photocopied 1:50 000 NTS maps [30 M/3, 30 M/4, 30 M/5]		_A4703	AirPhotos_Hamilton_1934_A4703-32	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71985
	Greater Hamilton Area, from Caledonia to Vineland		Hamilton	1934-07-01	A4703	33	[1:20,000]	43.138878	-79.802628	http://library.mcmaster.ca/maps/airphotos/thumbnails/AirPhotos_Hamilton_1934_A4703-33.jpg	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71834	H:\Digitization_Projects\Air_Photos\AirPhotos_1934_Hamilton	National Air Photo Library (Canada)		[Publisher unknown]	[Place of publication unknown]	1934	1 remote-sensing image ; 18 x 24 cm. Some surface damage (pencil markings).	Shows parts of Lincoln Township, Binbrook Township, Seneca Township, Hamilton, and Burlington. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library [Parts of Lincoln Township, Binbrook Township, Seneca Township and Burlington] June-November, 1934.	Hamilton Region (Ont.)			North America	Canada	Ontario			Hamilton			On photocopied 1:50 000 NTS maps [30 M/3, 30 M/4, 30 M/5]		_A4703	AirPhotos_Hamilton_1934_A4703-33	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71834
	Greater Hamilton Area, from Caledonia to Vineland		Hamilton	1934-07-01	A4703	34	[1:20,000]	43.138479	-79.813356	http://library.mcmaster.ca/maps/airphotos/thumbnails/AirPhotos_Hamilton_1934_A4703-34.jpg	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71901	H:\Digitization_Projects\Air_Photos\AirPhotos_1934_Hamilton	National Air Photo Library (Canada)		[Publisher unknown]	[Place of publication unknown]	1934	1 remote-sensing image ; 18 x 24 cm. Some surface damage (pencil markings).	Shows parts of Lincoln Township, Binbrook Township, Seneca Township, Hamilton, and Burlington. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library [Parts of Lincoln Township, Binbrook Township, Seneca Township and Burlington] June-November, 1934.	Hamilton Region (Ont.)			North America	Canada	Ontario			Hamilton			On photocopied 1:50 000 NTS maps [30 M/3, 30 M/4, 30 M/5]		_A4703	AirPhotos_Hamilton_1934_A4703-34	http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A71901
